long,lat,group,order,region,subregion
-87.83251953125,17.501073837280273,17,300,Belize,Turneffe Island
-87.826416015625,17.546289443969727,17,301,Belize,Turneffe Island
-87.78862762451172,17.524219512939453,17,302,Belize,Turneffe Island
-87.79814910888672,17.479589462280273,17,303,Belize,Turneffe Island
-87.852935791015625,17.4228515625,17,304,Belize,Turneffe Island
-87.9505844116211,17.924951553344727,18,306,Belize,Ambergris Cay
-87.99809265136719,17.906347274780273,18,307,Belize,Ambergris Cay
-87.95903015136719,17.964014053344727,18,308,Belize,Ambergris Cay
-87.95332336425781,18.001073837280273,18,309,Belize,Ambergris Cay
-87.8983383178711,18.154932022094727,18,310,Belize,Ambergris Cay
-87.85893249511719,18.154052734375,18,311,Belize,Ambergris Cay
-87.8485336303711,18.140380859375,18,312,Belize,Ambergris Cay
-87.9505844116211,17.924951553344727,18,313,Belize,Ambergris Cay
-88.89404296875,15.890625,19,315,Belize,NA
-88.9371566772461,15.889843940734863,19,316,Belize,NA
-89.11357116699219,15.900683403015137,19,317,Belize,NA
-89.232818603515625,15.888670921325684,19,318,Belize,NA
-89.23750305175781,15.894433975219727,19,319,Belize,NA
-89.2276382446289,16.142822265625,19,320,Belize,NA
-89.21245574951172,16.527149200439453,19,321,Belize,NA
-89.201263427734375,16.808984756469727,19,322,Belize,NA
-89.19037628173828,17.084667205810547,19,323,Belize,NA
-89.18217468261719,17.29121208190918,19,324,Belize,NA
-89.17108917236328,17.572265625,19,325,Belize,NA
-89.1614761352539,17.814844131469727,19,326,Belize,NA
-89.162353515625,17.901952743530273,19,327,Belize,NA
-89.133544921875,17.970802307128906,19,328,Belize,NA
-89.050445556640625,17.999706268310547,19,329,Belize,NA
-88.942626953125,17.93964958190918,19,330,Belize,NA
-88.8978042602539,17.91455078125,19,331,Belize,NA
-88.85737609863281,17.928808212280273,19,332,Belize,NA
-88.80634307861328,17.965526580810547,19,333,Belize,NA
-88.74360656738281,18.071630477905273,19,334,Belize,NA
-88.586181640625,18.29052734375,19,335,Belize,NA
-88.52300262451172,18.445899963378906,19,336,Belize,NA
-88.461273193359375,18.476757049560547,19,337,Belize,NA
-88.372406005859375,18.482324600219727,19,338,Belize,NA
-88.295654296875,18.472412109375,19,339,Belize,NA
-88.3492660522461,18.35883903503418,19,340,Belize,NA
-88.295654296875,18.344091415405273,19,341,Belize,NA
-88.24726867675781,18.354686737060547,19,342,Belize,NA
-88.1302719116211,18.350732803344727,19,343,Belize,NA
-88.08525085449219,18.22612190246582,19,344,Belize,NA
-88.09721374511719,18.121631622314453,19,345,Belize,NA
-88.20747375488281,17.846094131469727,19,346,Belize,NA
-88.221435546875,17.751365661621094,19,347,Belize,NA
-88.271728515625,17.60986328125,19,348,Belize,NA
